TESTOPID	TESTNAME	TESTSTART	TESTEND	PRODUCTTESTID	SERIALNUMBER	REVTIMEORDER	OPERATIONREPORT	FIRMWARE_VERSION	KALMAN_FILTER	MAG_DECL	ACC_GAIN_X	ACC_GAIN_Y	ACC_GAIN_Z	ACC_OFFSET_X	ACC_OFFSET_Y	ACC_OFFSET_Z	GYRO_GAIN_X	GYRO_GAIN_Y	GYRO_GAIN_Z	MAG_XMIN	MAG_XMAX	MAG_YMIN	MAG_YMAX	MAG_ZMIN	MAG_ZMAX	MAG_ROT_XX	MAG_ROT_XY	MAG_ROT_XZ	MAG_ROT_YX	MAG_ROT_YY	MAG_ROT_YZ	MAG_ROT_ZX	MAG_ROT_ZY	MAG_ROT_ZZ	GYRO_ROT_XX	GYRO_ROT_XY	GYRO_ROT_XZ	GYRO_ROT_YX	GYRO_ROT_YY	GYRO_ROT_YZ	GYRO_ROT_ZX	GYRO_ROT_ZY	GYRO_ROT_ZZ	ACC_ROT_XX	ACC_ROT_XY	ACC_ROT_XZ	ACC_ROT_YX	ACC_ROT_YY	ACC_ROT_YZ	ACC_ROT_ZX	ACC_ROT_ZY	ACC_ROT_ZZ
A02010788	AHRS-CALIBRATION-v3	2017/12/15-12:38:14	2017/12/15-12:38:14	A02010789	42	1	OK	CLB	False	0.0	0.001	0.001	0.001	0.010751	-0.010138	0.028177	8.66	8.66	8.66	-1.0701	0.92985	-0.93973	1.0603	0.98631	-1.0137	1.0252	-0.098244	-0.0069073	-0.098244	1.0099	0.0065804	-0.0069073	0.0065804	0.97502	1	0	0	0	1	0	0	0	1	1.014	-0.0015899	0.00081012	-0.0015899	0.99492	0.002617	0.00081012	0.002617	0.99128
A01434236	AHRS-CALIBRATION-v1	2016/04/26-10:00:00	2016/04/26-10:00:00	A01434237	43	1	OK		False																																											
A01553704	AHRS-CALIBRATION-v2	2016/04/15-02:08:38	2016/04/23-03:07:38	A01553705	43	2	OK	3.1	False	2.94000006	0.001	0.001	0.001	0.000000	0.000000	0.000000	8.66	8.66	8.66	-0.114615	0.096400	-0.126670	0.084345	0.00000000	0.00000000	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01436018	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01436019	43	3	OK		False	2.94000006	0.001	0.001	0.001	0.000000	0.000000	0.000000	8.66	8.66	8.66	-0.114615	0.096400	-0.126670	0.084345	0.00000000	0.00000000	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01434234	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01434235	43	4	OK		False	2.94000006	0.001	0.001	0.001	0.000000	0.000000	0.000000	8.66	8.66	8.66	-0.114615	0.096400	-0.126670	0.084345	0.00000000	0.00000000	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01503723	AHRS-CALIBRATION-v1	2016/09/12-02:08:38	2016/09/12-03:07:38	A01503724	46	1	OK		False	0.0	0.001	0.001	0.001	0.014027	0.006618	-0.011690	8.66	8.66	8.66	-0.0671842	0.160797	-0.129514	0.0984672	0.09917360	-0.11812300	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01503721	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01503722	46	2	OK		False	0.0	0.001	0.001	0.001	0.014027	0.006618	-0.011690	8.66	8.66	8.66	-0.0671842	0.160797	-0.129514	0.0984672	0.09917360	-0.11812300	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01495795	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01495796	46	3	OK		False	0.0	0.001	0.001	0.001	0.014027	0.006618	-0.011690	8.66	8.66	8.66	-0.0671842	0.160797	-0.129514	0.0984672	0.09917360	-0.11812300	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01435953	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01435954	46	4	OK		False	0.0	0.001	0.001	0.001	0.014027	0.006618	-0.011690	8.66	8.66	8.66	-0.119983	0.102252	-0.126110	0.096125	0.09917360	-0.11812300	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
A01434218	AHRS-CALIBRATION-v1	2016/04/15-02:08:38	2016/04/23-03:07:38	A01434219	46	5	OK		False	0.0	0.001	0.001	0.001	0.014027	0.006618	-0.011690	8.66	8.66	8.66	-0.119983	0.102252	-0.126110	0.096125	0.09917360	-0.11812300	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1
