DETOID	DETID	DETTIME	DUID	FLOORID	PMTID	CABLEPOS	DUUPI	DOMUPI	CLBUPI	PMTUPI	DUSER	DOMSER	CLBSER	PMTSER	DOMID
D_ORCA006	49	1/26/2020 5:30:00 PM	1	0	-1	-1	3/DU-A:FR/1.22	3.2.2/A:FR/1.11	3.4.3.2/V2-2-1/2.262	//.	22	11	262		808469948
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	-1	-1	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	//.	22	291	49		808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	0	0	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13287	22	291	49	13287	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	1	1	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13286	22	291	49	13286	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	2	2	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13290	22	291	49	13290	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	3	3	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13285	22	291	49	13285	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	4	4	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13289	22	291	49	13289	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	5	5	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13353	22	291	49	13353	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	6	6	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13356	22	291	49	13356	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	7	7	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13358	22	291	49	13358	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	8	8	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13279	22	291	49	13279	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	9	9	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13354	22	291	49	13354	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	10	10	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13355	22	291	49	13355	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	11	11	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.13352	22	291	49	13352	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	12	12	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.10823	22	291	49	10823	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	13	13	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.10828	22	291	49	10828	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	14	14	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.10827	22	291	49	10827	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	15	15	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/2.10789	22	291	49	10789	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	16	16	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12545	22	291	49	12545	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	17	17	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12550	22	291	49	12550	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	18	18	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12637	22	291	49	12637	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	19	19	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12638	22	291	49	12638	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	20	20	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12631	22	291	49	12631	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	21	21	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12635	22	291	49	12635	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	22	22	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12632	22	291	49	12632	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	23	23	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12633	22	291	49	12633	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	24	24	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12645	22	291	49	12645	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	25	25	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12640	22	291	49	12640	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	26	26	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12484	22	291	49	12484	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	27	27	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12639	22	291	49	12639	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	28	28	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12636	22	291	49	12636	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	29	29	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12552	22	291	49	12552	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	1	30	30	3/DU-A:FR/1.22	3.4/CH56C/4.291	3.4.3.2/V2-2-1/2.49	3.4.2.3/HAMA-R12199/1.12560	22	291	49	12560	808972698
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	-1	-1	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	//.	22	292	251		808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	0	0	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10715	22	292	251	10715	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	1	1	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10685	22	292	251	10685	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	2	2	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10708	22	292	251	10708	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	3	3	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10714	22	292	251	10714	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	4	4	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10710	22	292	251	10710	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	5	5	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10709	22	292	251	10709	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	6	6	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10702	22	292	251	10702	808982077
D_ORCA006	49	1/26/2020 5:30:00 PM	1	2	7	7	3/DU-A:FR/1.22	3.4/CH54C/4.292	3.4.3.2/V2-2-1/2.251	3.4.2.3/HAMA-R12199/2.10701	22	292	251	10701	808982077
